Male - Midstream Urine - 11580,Female - Midstream Urine - 26344,Male - Indwelling Catheter - 5383,Female - Indwelling Catheter - 4677,Male - Intermittent Catheter - 4269,Female - Intermittent Catheter - 4828
0.001014,0.023,11.41,0.086,0.1326,0.015
0.001655,0.028427,15.62,15.95,0.2479,5.607
0.015,0.029,16.73,15.99,0.3004,14.898
0.017449,0.062,16.73,16,0.339068,14.9163
0.042,0.103,16.74,16.06,15.36024,15.63
0.066707,0.232,16.75,16.07,16.39,16.17359
0.067,0.394,16.96,16.33,17.17,16.64
0.067,0.522,16.96847,16.65,17.18,16.65
0.078,0.695,16.99586,16.72,17.24244,17.278
0.103,0.824,17.10271,17.03,17.66,17.36
0.117,0.842,17.26,17.55,17.76,17.49
0.173581,0.963,17.84,17.63,17.94662,17.53
0.205,1.078,17.84,17.65,17.98,17.57
0.229,1.128,17.91,17.66,17.99829,17.73
0.302,1.15,17.93,17.68,18.05068,17.76
0.339,1.432,17.94,17.69,18.19,17.77
0.349,1.832,18.06,17.69,18.245,17.94
0.472,1.903,18.08678,17.74,18.246,17.99038
0.574,2.535582,18.14,17.74,18.33335,18.25
4.494,2.84,18.16,17.75,18.3498,18.25
5.21,3.024,18.35,17.76,18.363,18.3
12.36,3.361,18.71,17.79,18.38,18.32
15.66,3.67,19.24,17.8,18.45,18.42
15.72,3.955,19.3,17.8,18.464,18.43
16.2,5.251,19.42,17.88,18.563,18.67
16.38,5.379,19.44569,17.92,18.65,18.85
16.57,5.809,19.46,18.41,18.7,18.862
17.08,5.879,19.49,18.41,18.83,18.88
17.46,5.9,19.51637,18.51,18.87,18.985
17.72,7.996,19.54,18.52,18.936,19.18
17.73,8.051,19.68,18.59,19.07,19.22329
17.82,8.689,19.85,18.73,19.21,19.29176
17.83,13.08,19.89,19.16,19.221,19.34
17.95,13.92,19.97,19.2,19.25072,19.4
17.99,14.28,20.22,19.24,19.25613,19.49
18.06,14.45,20.42328,19.27,19.3,19.506
18.1,14.5,20.45,19.32,19.35,19.544
18.11,15.22,20.49,19.33,19.37,19.61
18.15,15.34,20.52,19.49,19.47,19.76
18.18,15.4,20.65,19.5,19.486,19.76
18.21,15.42,20.77,19.52,19.51,19.79
18.28,15.44,20.79,19.64,19.74,19.89
18.28,15.51,20.85,19.67,19.80957,19.91
18.29,15.57,20.87,19.68,19.81,19.96
18.3,15.62,20.9,19.73,19.82,19.96
18.33,15.63,20.93,19.75,19.925,19.99
18.34,15.63,20.93,19.75,19.94,19.99
18.54,15.64,20.94,19.81,20.08,20.05
18.55,15.64,20.94,19.88,20.17,20.19
18.74,15.72,20.99,19.89,20.27,20.23
18.77,15.79,20.99,19.94,20.32,20.26
18.88,15.81,21,20,20.382,20.276
18.89,15.84,21,20.01,20.56571,20.31
18.99,15.84,21.03,20.15,20.69,20.31
19,15.91,21.06,20.17,20.69,20.46434
19.03,16,21.16,20.17,20.70598,20.465
19.03,16.02,21.22,20.29,20.74,20.47
19.04,16.06,21.22,20.58,20.82928,20.72
19.07,16.11,21.23,20.6,20.90541,20.82
19.08,16.11,21.23,20.62,21.21,20.83
19.16,16.12,21.28,20.77,21.23,20.85
19.37,16.14,21.29,20.87,21.26,20.85064
19.44,16.14,21.34,20.94,21.27,20.914
19.46,16.15,21.39639,20.96,21.33063,20.93
19.65,16.16,21.43,20.97,21.505,20.96
19.71,16.16,21.44,20.97,21.58,21.04
19.72,16.17,21.47,20.98,21.623,21.12
19.73,16.19,21.49,21.02,21.64,21.18
19.74,16.2,21.53,21.12,21.678,21.18
19.75,16.28,21.69,21.17,21.7029,21.185
19.77,16.29,21.73,21.48,21.71,21.2
19.84,16.29,21.79,21.57,21.77,21.27
19.86,16.3,21.82,21.72,21.782,21.35
19.88,16.31,21.93,21.91,21.91366,21.47
19.9,16.33,22.02,22.08,21.93,21.481
19.94,16.34,22.19,22.09,21.96,21.5
19.99,16.34,22.23,22.29,22.03,21.547
20.04,16.35,22.25,22.31,22.04,21.61
20.12,16.38,22.28,22.31,22.05613,21.63
20.14,16.4,22.33,22.33613,22.171,21.77
20.14,16.41,22.36,22.48,22.262,21.78
20.16,16.41,22.38,22.59,22.399,21.81
20.16,16.44,22.39,22.61,22.4046,21.83
20.2,16.46,22.47,22.63,22.49,21.95198
20.32,16.47,22.5,22.74,22.5005,22
20.37,16.5,22.67,22.97,22.53834,22.05
20.39,16.52,22.71,23.04,22.55,22.1
20.52,16.52,22.74,23.05,22.695,22.11
20.63,16.54,22.83,23.06712,22.716,22.17
20.7,16.58,22.83,23.07,22.82,22.201
20.78,16.58,22.84,23.12,22.82,22.22
20.8,16.58,22.84,23.25339,22.83,22.297
20.87,16.59,22.9333,23.29,22.87,22.31
20.91,16.6,22.97,23.65,22.87,22.31
20.99,16.6,22.98,23.93,22.89,22.31
21,16.62,22.99,24.15,22.93,22.31
21,16.62,23.19,24.21,22.95,22.36848
21.01,16.64,23.28,24.27,23.01,22.37
21.02,16.64,23.28,24.30546,23.07,22.42
21.04,16.66,23.35,24.31,23.119,22.46212
21.04,16.66,23.41,24.58,23.12,22.478
21.09,16.66,23.41,24.59,23.16,22.602
21.09,16.67,23.43,24.65,23.248,22.75
21.1,16.67,23.44,24.67,23.264,22.79
21.12,16.67,23.45,24.68,23.28,22.83
21.16,16.67,23.5,24.72,23.28,22.85
21.17,16.71,23.57,24.74,23.37392,22.86
21.18,16.71,24.13,24.75,23.404,22.93
21.21,16.71,24.13,24.75,23.44,22.94
21.25,16.74,24.17,24.75,23.497,22.99
21.28,16.75,24.24,24.75,23.55,23.0342
21.29,16.76,24.25,24.79,23.57,23.043
21.31,16.84,24.26,24.81,23.58,23.09
